Test case originally investigated by "Furman, Sahinidis. Industrial and Engineering Chemistry Research 43(14), p. 3554-3565, 2004".
Manually digitized and made publicly available by "Letsios, Kouyialis, Misener. Computers and Chemical Engineering 113, p. 57-85, 2018". 
 
DTmin 10
HS1  175.00  150.00  4923
HS2  168.00   55.00   767
HS3  190.00  175.00 15796
HS4  160.00  135.00  6402
HS5  102.00   40.00 40417
HS6  170.00   40.00   795
HS7   98.40   40.00  2216
HS8   97.40   40.00  2290
HS9   98.40   40.00  1984
HS10  40.00   25.00   652
HS11  25.00   10.00   692
HS12 104.70   40.00   573
HS13  80.00   40.00   840
HS14  40.00   25.00   339
HS15  25.00    7.40  1553
HS16  57.50   40.00   358
HS17  11.70    0.00  1819
HS18  99.00   96.20   529
HS19  30.80   28.60  6690
HS20  44.70   40.00  5307
HS21 976.00  300.00 25220
CS1   10.00  160.00  4923
CS2  170.00  170.50 15796
CS3  120.00  120.50  6402
CS4  170.00  170.50 13667
CS5  170.00  222.00  1604
CS6   68.00   90.00   778
CS7   14.50   15.00  1448
CS8  122.00  122.50   386
CS9    2.40    2.60  1625
CS10  68.00   68.50  3241
CS11   4.50    5.00   3262
CS12  52.00   53.00  4666
CS13 175.00  196.00  6300
CS14  40.00   99.00  6490
CS15  33.90   79.90  1875
CS16 130.00  302.00 12703
HU1 1000.00  999.00     1
CU1  -11.00  -10.00     1
