Test case originally investigated by "Furman, Sahinidis. Industrial and Engineering Chemistry Research 43(14), p. 3554-3565, 2004".
Manually digitized and made publicly available by "Letsios, Kouyialis, Misener. Computers and Chemical Engineering 113, p. 57-85, 2018". 
 
DTmin 10
HS1  550 450 28.400
HS2  520 480 23.870
HS3  500 440 24.600
HS4  460 370 17.000
HS5  415 340 30.690
HS6  400 300 19.360
HS7  365 320 25.500
HS8  300 250 12.420
HS9  240 170 20.720
HS10 170 140 18.900
CS1  375 420 22.320
CS2  300 370 23.870
CS3  320 360 34.960
CS4  280 340 26.040
CS5  260 330 13.440
CS6  225 280 32.000
CS7  240 265 11.100
CS8  170 220 22.960
CS9  140 200 14.400
CS10 80 140 13.920
CU1 100 180       0.0005
