Test case originally investigated by "Chen, Grossmann, Miller. Computers and Chemical Engineering 82, p. 68-83, 2015". 
Retrieved from www.minlp.org. 
 
 DTmin 10.0
HS0 400.0 120.0 6.0
HS1 340.0 120.0 2.0
HS2 380.0 150.0 0.5
HS3 300.0 100.0 8.0
HS4 420.0 160.0 3.0
HS5 390.0 110.0 4.0
HS6 360.0 200.0 0.2
HS7 280.0 130.0 0.6
HS8 250.0 80.0 1.5
HS9 330.0 170.0 4.0
CS0 160.0 400.0 14.0
CS1 100.0 250.0 3.0
CS2 50.0 300.0 0.4
CS3 200.0 380.0 2.5
CS4 150.0 450.0 2.0
CS5 100.0 180.0 6.0
CS6 200.0 350.0 1.5
CS7 120.0 330.0 0.2
CS8 110.0 220.0 5.5
CS9 190.0 360.0 3.0
HU0 500.0 499.0 80.0
HU1 350.0 349.0 50.0
CU0 20.0 21.0 20.0
